winner,allocation,payment,scores,auction_id,context_year,true_winner_quality,outcome_success,oracle_winner,gap_top2,n_close,regret,winner_first_year,winner_is_incumbent
SpaceX,{'p_7_0': 'SpaceX'},7.64790195805909e+18,"{'China': 2.41392501178908, 'France': 2.4195171170522376, 'Germany': 2.427558201907232, 'India': 2.4210674104687055, 'Israel': 2.4063675004610907, 'Japan': 2.408988225874114, 'Russia': 2.4177148561182125, 'UAE': 2.4121462593524323, 'UK': 2.4128728005901556, 'ULA': 2.4488739281977487, 'USA': 2.402156202181167, 'SpaceX': 2.6151092223153953}",7,2016,0.9533082997610854,True,SpaceX,0.1662352941176466,1,0.0,2010,False
ULA,"{'p_8_1': 'ULA', 'p_8_0': 'ULA'}",4.643877778060919e+18,"{'China': 2.8451099374100943, 'France': 2.850702042673252, 'Germany': 2.858743127528247, 'India': 2.8522523360897205, 'Israel': 2.8375524260821057, 'Japan': 2.840173151495129, 'Russia': 2.848899781739227, 'UAE': 2.8433311849734473, 'UK': 2.8440577262111706, 'ULA': 2.8800588538187633, 'USA': 2.833341127802182, 'SpaceX': 2.4368492619129656}",8,2016,0.6046586601053787,False,SpaceX,0.021315726290516146,11,0.3486496396557067,2000,True
Germany,"{'p_15_0': 'Germany', 'p_15_1': 'Germany'}",3.823369556540017e+18,"{'China': 3.1036358345046335, 'France': 3.1092279397677913, 'Germany': 3.117269024622786, 'India': 3.1107782331842593, 'Israel': 3.096078323176645, 'Japan': 3.098699048589668, 'Russia': 3.107425678833766, 'UAE': 3.1018570820679865, 'UK': 3.10258362330571, 'ULA': 2.3776225912993527, 'USA': 3.091867024896721, 'SpaceX': 2.6196546768608497}",15,2014,0.5916684889019738,False,SpaceX,0.0064907914385266,10,0.3616398108591117,2000,True
India,{'p_16_0': 'India'},4.3335785579013955e+18,"{'China': 3.2860882718327233, 'France': 3.291680377095881, 'Germany': 2.4872580139866804, 'India': 3.293230670512349, 'Israel': 3.2785307605047347, 'Japan': 3.281151485917758, 'Russia': 3.289878116161856, 'UAE': 3.2843095193960763, 'UK': 3.2850360606337996, 'ULA': 2.506635946978059, 'USA': 3.2743194622248106, 'SpaceX': 2.7486680325395563}",16,2024,0.8356141422236415,True,SpaceX,0.0015502934164679516,9,0.11769415753744394,2000,True
France,{'p_22_0': 'France'},1.9178114447460114e+18,"{'China': 3.425948187565385, 'France': 3.431540292828543, 'Germany': 2.5861539088174244, 'India': 2.6711622802369455, 'Israel': 3.4183906762373963, 'Japan': 3.4210114016504196, 'Russia': 3.4297380318945176, 'UAE': 3.424169435128738, 'UK': 3.4248959763664613, 'ULA': 2.6055318418088027, 'USA': 3.4141793779574723, 'SpaceX': 2.8475639273702997}",22,2016,0.5889058170663772,False,SpaceX,0.001802260934025135,8,0.3644024826947082,2000,True
Russia,"{'p_23_0': 'Russia', 'p_23_1': 'Russia'}",22956775304498.906,"{'China': 3.538733457832601, 'France': 2.6585950611004256, 'Germany': 2.66590513824133, 'India': 2.7509135096608515, 'Israel': 3.531175946504612, 'Japan': 3.5337966719176355, 'Russia': 3.5425233021617335, 'UAE': 3.536954705395954, 'UK': 3.537681246633677, 'ULA': 2.6852830712327087, 'USA': 3.5269646482246886, 'SpaceX': 2.9273151567942057}",23,2012,0.42804678735800195,False,SpaceX,0.0037898443291326522,7,0.5252615124030835,2000,True
China,{'p_24_1': 'China'},6.872004019181379e+18,"{'China': 3.63286956267545, 'France': 2.7251593391892923, 'Germany': 2.7324694163301966, 'India': 2.817477787749718, 'Israel': 3.6253120513474615, 'Japan': 3.6279327767604848, 'Russia': 2.7235209201583603, 'UAE': 3.631090810238803, 'UK': 3.6318173514765264, 'ULA': 2.751847349321575, 'USA': 3.6211007530675374, 'SpaceX': 2.9938794348830724}",24,2025,0.8461338781048496,True,SpaceX,0.001052211198923736,6,0.10717442165623581,2000,True
UK,{'p_29_0': 'UK'},1.0865064343691145e+19,"{'China': 2.8679448656397595, 'France': 2.7821195067880846, 'Germany': 2.789429583928989, 'India': 2.8744379553485104, 'Israel': 3.705865892880718, 'Japan': 3.7084866182937413, 'Russia': 2.7804810877571526, 'UAE': 3.7116446517720596, 'UK': 3.712371193009783, 'ULA': 2.8088075169203677, 'USA': 3.701654594600794, 'SpaceX': 3.0508396024818647}",29,2014,0.8424731089686259,True,SpaceX,0.0007265412377233105,5,0.11083519079245951,2000,True
UAE,"{'p_34_1': 'UAE', 'p_34_0': 'UAE'}",1.8683209861321368e+19,"{'China': 2.9176167439926965, 'France': 2.8317913851410217, 'Germany': 2.839101462281926, 'India': 2.9241098337014475, 'Israel': 3.7761125369159885, 'Japan': 3.7787332623290117, 'Russia': 2.8301529661100897, 'UAE': 3.78189129580733, 'UK': 2.9166601883573113, 'ULA': 2.8584793952733047, 'USA': 3.7719012386360644, 'SpaceX': 3.1005114808348018}",34,2022,0.6961247422806927,True,SpaceX,0.003158033478318334,4,0.2571835574803928,2000,True
Japan,"{'p_36_0': 'Japan', 'p_36_1': 'Japan'}",1.722082159329565e+19,"{'China': 2.9615800648734223, 'France': 2.8757547060217474, 'Germany': 2.8830647831626517, 'India': 2.9680731545821732, 'Israel': 3.8382860615524708, 'Japan': 3.840906786965494, 'Russia': 2.8741162869908154, 'UAE': 2.959963017203743, 'UK': 2.960623509238037, 'ULA': 2.90244271615403, 'USA': 3.8340747632725467, 'SpaceX': 3.1444748017155275}",36,2016,0.951678293383076,True,SpaceX,0.0026207254130232727,3,0.0016300063780094742,2000,True
Israel,{'p_38_1': 'Israel'},1.0018565416534362e+18,"{'China': 3.000958524978065, 'France': 2.91513316612639, 'Germany': 2.922443243267294, 'India': 3.0074516146868158, 'Israel': 3.8939756138978243, 'Japan': 2.9964705377826415, 'Russia': 2.913494747095458, 'UAE': 2.9993414773083855, 'UK': 3.0000019693426796, 'ULA': 2.9418211762586726, 'USA': 3.8897643156179003, 'SpaceX': 3.18385326182017}",38,2021,0.760047313928979,False,SpaceX,0.004211298279924058,2,0.1932609858321065,2000,True
USA,{'p_48_0': 'USA'},1.085092890425871e+19,"{'China': 3.0365786889472637, 'France': 2.950753330095589, 'Germany': 2.958063407236493, 'India': 3.0430717786560146, 'Israel': 2.9387991331945464, 'Japan': 3.0320907017518404, 'Russia': 2.949114911064657, 'UAE': 3.0349616412775844, 'UK': 3.0356221333118785, 'ULA': 2.9774413402278714, 'USA': 3.9401388345970947, 'SpaceX': 3.219473425789369}",48,2022,0.6176984142361054,True,SpaceX,0.7206654088077258,1,0.33560988552498006,2000,True
SpaceX,"{'p_49_1': 'SpaceX', 'p_49_0': 'SpaceX'}",1.0906356746813377e+19,"{'China': 3.069065495063005, 'France': 2.98324013621133, 'Germany': 2.9905502133522344, 'India': 3.075558584771756, 'Israel': 2.9712859393102877, 'Japan': 3.0645775078675817, 'Russia': 2.981601717180398, 'UAE': 3.0674484473933257, 'UK': 3.0681089394276198, 'ULA': 3.009928146343613, 'USA': 3.05836657723763, 'SpaceX': 3.25196023190511}",49,2015,0.9533082997610854,True,SpaceX,0.17640164713335427,1,0.0,2010,False
