winner,allocation,payment,scores,auction_id,context_year,true_winner_quality,outcome_success,oracle_winner,gap_top2,n_close,regret,winner_first_year,winner_is_incumbent
SpaceX,"{'p_5_0': 'SpaceX', 'p_5_1': 'SpaceX'}",8974200.232724734,"{'China': 0.7502080652284714, 'France': 0.8738783202274901, 'Germany': 0.7997749838642382, 'India': 0.7853510128731043, 'Israel': 0.8495844370902838, 'Japan': 0.5989953456167963, 'Russia': 0.5252496103097163, 'UAE': 0.7927079437618537, 'UK': 0.40112355904814884, 'ULA': 0.9611396540773056, 'USA': 0.8388037446163534, 'SpaceX': 0.9619044815980636}",5,2012,0.9619044815980636,True,SpaceX,0.0007648275207580157,2,0.0,2010,False
SpaceX,{'p_6_0': 'SpaceX'},21083396.231467973,"{'China': 0.6090972778594459, 'France': 0.78026218474132, 'Germany': 0.7028611625958489, 'India': 0.7172851544181725, 'Israel': 0.73586233783109, 'Japan': 0.7801000247580375, 'Russia': 0.6512144390048414, 'UAE': 0.9377682765815422, 'UK': 0.7074732343157746, 'ULA': 0.6166905814202757, 'USA': 0.6953705309749635, 'SpaceX': 0.9937787505969269}",6,2023,0.9619044815980636,True,SpaceX,0.056010474015384726,1,0.0,2010,False
SpaceX,{'p_11_0': 'SpaceX'},25805637.695333548,"{'China': 0.544703213444145, 'France': 0.6908551673600155, 'Germany': 0.7780077500556072, 'India': 0.6651087155241715, 'Israel': 0.6633664401833305, 'Japan': 0.7038705043506175, 'Russia': 0.938817143835504, 'UAE': 0.8971694021709525, 'UK': 0.8530370316071787, 'ULA': 0.8023637026604105, 'USA': 0.8156207059498424, 'SpaceX': 0.9942382509494085}",11,2016,0.9619044815980636,True,SpaceX,0.05542110711390458,1,0.0,2010,False
USA,{'p_16_0': 'USA'},7513156.902335933,"{'China': 0.8128354099190475, 'France': 0.9090312402498364, 'Germany': 0.8523216182278136, 'India': 0.8423132225056522, 'Israel': 0.7868028212763875, 'Japan': 0.6965281725698568, 'Russia': 0.7984023841257982, 'UAE': 0.7509725097866141, 'UK': 0.9167543992306028, 'ULA': 0.8507961402719676, 'USA': 0.9483258676132905, 'SpaceX': 0.9429565934434765}",16,2015,0.8388037446163534,True,SpaceX,0.005369274169814031,4,0.1231007369817102,2000,True
China,"{'p_19_1': 'China', 'p_19_2': 'China'}",39601381.71234213,"{'China': 0.9885522288058218, 'France': 0.6076277024264676, 'Germany': 0.4234828195966272, 'India': 0.7996764511346338, 'Israel': 0.8785743495443017, 'Japan': 0.7875251790181591, 'Russia': 0.7078912113284073, 'UAE': 0.6748407069480755, 'UK': 0.8190753685156955, 'ULA': 0.9006753112523883, 'USA': 0.7729389597296408, 'SpaceX': 0.9758065737860813}",19,2019,0.7502080652284714,True,SpaceX,0.012745655019740565,2,0.21169641636959224,2000,True
SpaceX,{'p_21_0': 'SpaceX'},24164902.16983248,"{'China': 0.9313795958612794, 'France': 0.6439173268582529, 'Germany': 0.8073220997939491, 'India': 0.7830445564009967, 'Israel': 0.7908134492477059, 'Japan': 0.8974024173295538, 'Russia': 0.6667991012129734, 'UAE': 0.6452302472337589, 'UK': 0.9371650448910768, 'ULA': 0.7243347266076242, 'USA': 0.686767802609367, 'SpaceX': 0.9996877217391523}",21,2019,0.9619044815980636,False,SpaceX,0.06252267684807555,1,0.0,2010,False
SpaceX,"{'p_25_1': 'SpaceX', 'p_25_0': 'SpaceX'}",22914887.388861697,"{'China': 0.6520928497915135, 'France': 0.7901231864617969, 'Germany': 0.850090719310152, 'India': 0.8455414577016065, 'Israel': 0.737479354800042, 'Japan': 0.6598025276319127, 'Russia': 0.7258750922502595, 'UAE': 0.5861649578309684, 'UK': 0.7692889592362085, 'ULA': 0.7587062200245305, 'USA': 0.825851980244655, 'SpaceX': 0.8769103881932799}",25,2025,0.9619044815980636,True,SpaceX,0.026819668883127923,3,0.0,2010,False
India,{'p_27_0': 'India'},26626765.707921818,"{'China': 0.8405035804908872, 'France': 0.8577392470984965, 'Germany': 0.8913991334741083, 'India': 0.9530750905946345, 'Israel': 0.8220007084093941, 'Japan': 0.7466288282464946, 'Russia': 0.832091446347344, 'UAE': 0.9279323655295306, 'UK': 0.9466133979846502, 'ULA': 0.9485408298649152, 'USA': 0.7782171332901443, 'SpaceX': 0.8824013876315348}",27,2025,0.7853510128731043,True,SpaceX,0.004534260729719297,4,0.17655346872495936,2000,True
Germany,{'p_29_0': 'Germany'},2934162.249999352,"{'China': 0.6382384677984337, 'France': 0.6087077543780729, 'Germany': 0.9361399215532905, 'India': 0.7252083481681529, 'Israel': 0.6402358359914515, 'Japan': 0.8868364789600336, 'Russia': 0.8477295799573453, 'UAE': 0.8888156871425266, 'UK': 0.7666214714697851, 'ULA': 0.8697117978716212, 'USA': 0.6819131957954296, 'SpaceX': 0.8930315530664756}",29,2012,0.7997749838642382,True,SpaceX,0.043108368486814874,2,0.16212949773382546,2000,True
ULA,{'p_32_0': 'ULA'},26357919.687064175,"{'China': 0.7391880807614146, 'France': 0.7815139117999924, 'Germany': 0.8325681848982864, 'India': 0.5463541774818494, 'Israel': 0.798524410653047, 'Japan': 0.5147758594126659, 'Russia': 0.8356593798257239, 'UAE': 0.7792095842675606, 'UK': 0.7308084678466172, 'ULA': 0.9227986226674837, 'USA': 0.7828147557305632, 'SpaceX': 0.8575595030208326}",32,2020,0.9611396540773056,True,SpaceX,0.06523911964665108,1,0.0007648275207580157,2000,True
