winner,allocation,payment,scores,probabilities,auction_id,context_year,true_winner_quality,outcome_success,oracle_winner,gap_top2,n_close,regret,winner_is_incumbent
Israel,{'p_1_0': 'SpaceX'},1.9964800534136694e+18,"{'China': 0.7488157894736842, 'France': 0.7544078947368421, 'Germany': 0.7624489795918368, 'India': 0.7559581881533102, 'Israel': 0.7412582781456954, 'Japan': 0.7438790035587188, 'Russia': 0.752605633802817, 'UAE': 0.747037037037037, 'UK': 0.7477635782747604, 'ULA': 0.7837647058823531, 'USA': 0.7370469798657717, 'SpaceX': 0.95}","{'China': 0.9154001205081663, 'France': 0.00025125785772293723, 'Germany': 1.0500520047167098e-06, 'India': 5.517007379870249e-15, 'Israel': 0.040807029968463915, 'Japan': 1.6259311903903969e-12, 'Russia': 0.043525600205221414, 'UAE': 9.22307653175527e-06, 'UK': 3.817474714415019e-10, 'ULA': 2.8971128483046803e-09, 'USA': 1.4516227439551392e-14, 'SpaceX': 5.715051383008693e-06}",1,2018,0.6470354920782665,True,UAE,0.16623529411764681,1,0.22129072458374321,True
Germany,{'p_2_0': 'SpaceX'},2.9121704663966586e+17,"{'China': 0.7488157894736842, 'France': 0.7544078947368421, 'Germany': 0.7624489795918368, 'India': 0.7559581881533102, 'Israel': 0.7647802528597232, 'Japan': 0.7438790035587188, 'Russia': 0.752605633802817, 'UAE': 0.747037037037037, 'UK': 0.7477635782747604, 'ULA': 0.7837647058823531, 'USA': 0.7370469798657717, 'SpaceX': 0.95}","{'China': 5.040544201354154e-22, 'France': 8.040543020786062e-19, 'Germany': 0.9999997347982922, 'India': 7.491685172766027e-20, 'Israel': 2.0332973193015474e-21, 'Japan': 1.4110151460425808e-16, 'Russia': 2.987940888973945e-11, 'UAE': 7.411636869940402e-11, 'UK': 1.4439737216069712e-20, 'ULA': 2.649461797002035e-07, 'USA': 7.035526914817227e-17, 'SpaceX': 1.5153196328233075e-10}",2,2018,0.7067213120145018,True,UAE,0.16623529411764681,1,0.16160490464750787,True
Japan,{'p_4_0': 'SpaceX'},1.618216378404624e+18,"{'China': 0.7488157894736842, 'France': 0.7544078947368421, 'Germany': 0.7840445269016698, 'India': 0.7559581881533102, 'Israel': 0.7647802528597232, 'Japan': 0.7438790035587188, 'Russia': 0.752605633802817, 'UAE': 0.747037037037037, 'UK': 0.7477635782747604, 'ULA': 0.7837647058823531, 'USA': 0.7370469798657717, 'SpaceX': 0.95}","{'China': 1.719928093904953e-14, 'France': 0.0008519731071933563, 'Germany': 3.577217645558901e-09, 'India': 2.5212582796130096e-10, 'Israel': 0.0005804655668653097, 'Japan': 0.9729888789268677, 'Russia': 2.1170016814280978e-10, 'UAE': 1.5417939169592633e-06, 'UK': 0.0004968278053837386, 'ULA': 0.02508025681960188, 'USA': 6.57442393977379e-15, 'SpaceX': 5.1939103486877776e-08}",4,2017,0.8547897053739497,True,UAE,0.16595547309833014,1,0.013536511288059994,True
China,"{'p_8_1': 'SpaceX', 'p_8_2': 'SpaceX'}",1.3091819127210348e+18,"{'China': 0.7488157894736842, 'France': 0.7544078947368421, 'Germany': 0.7840445269016698, 'India': 0.7559581881533102, 'Israel': 0.7647802528597232, 'Japan': 0.7671627305079262, 'Russia': 0.752605633802817, 'UAE': 0.747037037037037, 'UK': 0.7477635782747604, 'ULA': 0.7837647058823531, 'USA': 0.7370469798657717, 'SpaceX': 0.95}","{'China': 0.9979968389865134, 'France': 9.879025143658862e-14, 'Germany': 8.289279517393824e-06, 'India': 8.402596170574902e-12, 'Israel': 1.5178027448270424e-13, 'Japan': 0.0019483323693405634, 'Russia': 1.0927347102582966e-15, 'UAE': 2.061055223165352e-13, 'UK': 4.119335674839688e-09, 'ULA': 7.713101185428929e-11, 'USA': 4.653474565008195e-05, 'SpaceX': 4.136515005779216e-10}",8,2020,0.8134500297051748,True,UAE,0.16595547309833014,1,0.05487618695683494,True
UAE,{'p_12_0': 'SpaceX'},1.2130705044460692e+18,"{'China': 0.7716507177033493, 'France': 0.7544078947368421, 'Germany': 0.7840445269016698, 'India': 0.7559581881533102, 'Israel': 0.7647802528597232, 'Japan': 0.7671627305079262, 'Russia': 0.752605633802817, 'UAE': 0.747037037037037, 'UK': 0.7477635782747604, 'ULA': 0.7837647058823531, 'USA': 0.7370469798657717, 'SpaceX': 0.95}","{'China': 0.0055606065629096495, 'France': 7.146209265988618e-08, 'Germany': 0.0008148179405633192, 'India': 5.873137505082324e-08, 'Israel': 7.3005579060226e-10, 'Japan': 0.04824692491652101, 'Russia': 0.9398580141996724, 'UAE': 0.005278614376345115, 'UK': 0.00015157071664250815, 'ULA': 3.971959905874525e-08, 'USA': 8.87255711387433e-05, 'SpaceX': 5.550730849061735e-07}",12,2020,0.8683262166620097,True,UAE,0.16595547309833014,1,0.0,True
SpaceX,{'p_17_0': 'SpaceX'},2.578193552122006e+18,"{'China': 0.7716507177033493, 'France': 0.7544078947368421, 'Germany': 0.7840445269016698, 'India': 0.7559581881533102, 'Israel': 0.7647802528597232, 'Japan': 0.7671627305079262, 'Russia': 0.752605633802817, 'UAE': 0.7700336700336702, 'UK': 0.7477635782747604, 'ULA': 0.7837647058823531, 'USA': 0.7370469798657717, 'SpaceX': 0.95}","{'China': 1.3895430316837933e-09, 'France': 6.243125007610158e-17, 'Germany': 2.160625338816158e-13, 'India': 9.777668123474774e-13, 'Israel': 5.310272501474356e-15, 'Japan': 2.4020556468071636e-06, 'Russia': 3.3675993230532426e-11, 'UAE': 2.160461562995955e-10, 'UK': 3.527031116797277e-15, 'ULA': 2.4220810974620034e-09, 'USA': 0.024139024108225413, 'SpaceX': 0.9758585697735788}",17,2015,0.8220741857983254,True,UAE,0.16595547309833014,1,0.046252030863684346,True
India,{'p_18_0': 'SpaceX'},1.8465986289774333e+18,"{'China': 0.7716507177033493, 'France': 0.7544078947368421, 'Germany': 0.7840445269016698, 'India': 0.7559581881533102, 'Israel': 0.7647802528597232, 'Japan': 0.7671627305079262, 'Russia': 0.752605633802817, 'UAE': 0.7700336700336702, 'UK': 0.7477635782747604, 'ULA': 0.7837647058823531, 'USA': 0.7370469798657717, 'SpaceX': 0.9545454545454546}","{'China': 5.5743799600477483e-14, 'France': 3.2320390063524685e-16, 'Germany': 7.569518929427512e-14, 'India': 0.9852140849396684, 'Israel': 3.2286292864961514e-14, 'Japan': 2.2527441637096546e-12, 'Russia': 1.372293086721127e-18, 'UAE': 1.5266225945965197e-07, 'UK': 0.014785762197341824, 'ULA': 7.671547186100292e-16, 'USA': 6.451765981454587e-11, 'SpaceX': 1.3379487394399141e-10}",18,2021,0.6198418265106778,True,UAE,0.17050092764378477,1,0.24848439015133195,True
ULA,{'p_21_0': 'SpaceX'},9.768598264823515e+17,"{'China': 0.7716507177033493, 'France': 0.7544078947368421, 'Germany': 0.7840445269016698, 'India': 0.7781438074121002, 'Israel': 0.7647802528597232, 'Japan': 0.7671627305079262, 'Russia': 0.752605633802817, 'UAE': 0.7700336700336702, 'UK': 0.7477635782747604, 'ULA': 0.7837647058823531, 'USA': 0.7370469798657717, 'SpaceX': 0.9545454545454546}","{'China': 0.009945490827645164, 'France': 1.5741200698714652e-07, 'Germany': 1.0160623027868118e-11, 'India': 3.3829821495791802e-09, 'Israel': 2.1824014567206012e-13, 'Japan': 1.0232726881082123e-12, 'Russia': 8.388950673841079e-05, 'UAE': 1.0826904874640518e-11, 'UK': 7.944099483650299e-10, 'ULA': 0.9898598987007304, 'USA': 0.000110559113585393, 'SpaceX': 2.39672464112213e-10}",21,2014,0.8242571761344814,True,UAE,0.17050092764378477,1,0.04406904052752836,True
Japan,{'p_22_0': 'SpaceX'},2.830259947280133e+18,"{'China': 0.7716507177033493, 'France': 0.7544078947368421, 'Germany': 0.7840445269016698, 'India': 0.7781438074121002, 'Israel': 0.7647802528597232, 'Japan': 0.7671627305079262, 'Russia': 0.752605633802817, 'UAE': 0.7700336700336702, 'UK': 0.7477635782747604, 'ULA': 0.8034224598930483, 'USA': 0.7370469798657717, 'SpaceX': 0.9545454545454546}","{'China': 0.003802440011539303, 'France': 8.267776575493642e-12, 'Germany': 8.760908215118725e-07, 'India': 0.0006403449041255641, 'Israel': 0.45403329105170576, 'Japan': 0.45706400056875346, 'Russia': 6.749875455676854e-09, 'UAE': 0.08445901987928033, 'UK': 1.1286830606002508e-10, 'ULA': 3.7292580659905554e-13, 'USA': 2.000719671527665e-08, 'SpaceX': 6.151927973930663e-10}",22,2022,0.8547897053739497,True,UAE,0.1511229946524063,1,0.013536511288059994,True
Russia,{'p_25_0': 'SpaceX'},4.027408219519338e+18,"{'China': 0.7716507177033493, 'France': 0.7544078947368421, 'Germany': 0.7840445269016698, 'India': 0.7781438074121002, 'Israel': 0.7647802528597232, 'Japan': 0.7865658362989323, 'Russia': 0.752605633802817, 'UAE': 0.7700336700336702, 'UK': 0.7477635782747604, 'ULA': 0.8034224598930483, 'USA': 0.7370469798657717, 'SpaceX': 0.9545454545454546}","{'China': 1.3222744919285312e-13, 'France': 4.92112270782221e-07, 'Germany': 2.3055351954463215e-10, 'India': 2.865734453069509e-09, 'Israel': 0.026932481431610995, 'Japan': 0.00012754426833062158, 'Russia': 0.972907019097411, 'UAE': 3.245999346536361e-05, 'UK': 2.5727080103279725e-16, 'ULA': 8.008830893047434e-15, 'USA': 9.575583440429946e-14, 'SpaceX': 3.870863733686777e-13}",25,2015,0.7572762560333781,True,UAE,0.1511229946524063,1,0.1110499606286316,True
Israel,{'p_26_0': 'SpaceX'},2.7608201919467305e+18,"{'China': 0.7716507177033493, 'France': 0.7544078947368421, 'Germany': 0.7840445269016698, 'India': 0.7781438074121002, 'Israel': 0.7647802528597232, 'Japan': 0.7865658362989323, 'Russia': 0.7750960307298336, 'UAE': 0.7700336700336702, 'UK': 0.7477635782747604, 'ULA': 0.8034224598930483, 'USA': 0.7370469798657717, 'SpaceX': 0.9545454545454546}","{'China': 0.029773153499745027, 'France': 1.5847715716107077e-08, 'Germany': 9.418511007823752e-06, 'India': 0.02459726818858094, 'Israel': 0.9057933414986132, 'Japan': 4.5371705920795765e-12, 'Russia': 4.031759063545244e-09, 'UAE': 5.64751328576219e-10, 'UK': 1.2679258246810831e-12, 'ULA': 0.03982535442461568, 'USA': 3.6238245113634904e-16, 'SpaceX': 1.4434274057744524e-06}",26,2024,0.6470354920782665,True,UAE,0.1511229946524063,1,0.22129072458374321,True
USA,{'p_27_0': 'SpaceX'},3.771544253016499e+18,"{'China': 0.7716507177033493, 'France': 0.7544078947368421, 'Germany': 0.7840445269016698, 'India': 0.7781438074121002, 'Israel': 0.7843818984547463, 'Japan': 0.7865658362989323, 'Russia': 0.7750960307298336, 'UAE': 0.7700336700336702, 'UK': 0.7477635782747604, 'ULA': 0.8034224598930483, 'USA': 0.7370469798657717, 'SpaceX': 0.9545454545454546}","{'China': 5.469849264004518e-14, 'France': 0.0001951962707436273, 'Germany': 1.960475674706973e-12, 'India': 0.05204417730156197, 'Israel': 3.922108597244447e-09, 'Japan': 2.3328601923291995e-09, 'Russia': 1.2980494232452037e-05, 'UAE': 2.549395535094484e-09, 'UK': 3.672523340990136e-14, 'ULA': 4.027425328981787e-06, 'USA': 0.9477423787156828, 'SpaceX': 1.2309860340307233e-06}",27,2017,0.7367603682209584,False,UAE,0.1511229946524063,1,0.13156584844105135,True
Russia,{'p_28_0': 'SpaceX'},2.6151881783707453e+18,"{'China': 0.7716507177033493, 'France': 0.7544078947368421, 'Germany': 0.7840445269016698, 'India': 0.7781438074121002, 'Israel': 0.7843818984547463, 'Japan': 0.7865658362989323, 'Russia': 0.7750960307298336, 'UAE': 0.7700336700336702, 'UK': 0.7477635782747604, 'ULA': 0.8034224598930483, 'USA': 0.6700427089688834, 'SpaceX': 0.9545454545454546}","{'China': 2.0634941731610408e-23, 'France': 1.8167234065177746e-24, 'Germany': 1.2819440672775829e-08, 'India': 1.4268483398185505e-25, 'Israel': 1.1087272648809345e-23, 'Japan': 9.452023497240167e-21, 'Russia': 0.9999999868725981, 'UAE': 4.726788765672946e-16, 'UK': 4.830591241669601e-21, 'ULA': 3.328923592228974e-25, 'USA': 3.0796070148721957e-10, 'SpaceX': 4.432962899618648e-23}",28,2017,0.7572762560333781,True,UAE,0.1511229946524063,1,0.1110499606286316,True
SpaceX,{'p_33_0': 'SpaceX'},3.5064833121427784e+18,"{'China': 0.7716507177033493, 'France': 0.7544078947368421, 'Germany': 0.7840445269016698, 'India': 0.7781438074121002, 'Israel': 0.7843818984547463, 'Japan': 0.7865658362989323, 'Russia': 0.7938380281690142, 'UAE': 0.7700336700336702, 'UK': 0.7477635782747604, 'ULA': 0.8034224598930483, 'USA': 0.6700427089688834, 'SpaceX': 0.9545454545454546}","{'China': 6.598041671451358e-17, 'France': 2.0029339848248498e-13, 'Germany': 7.6077719524833e-20, 'India': 2.5119166454246677e-10, 'Israel': 7.863388900352293e-21, 'Japan': 1.484400118181527e-19, 'Russia': 1.0266167241204363e-23, 'UAE': 4.273460835851553e-17, 'UK': 3.5856054942284276e-12, 'ULA': 2.698388570700687e-19, 'USA': 2.1370240852660138e-17, 'SpaceX': 0.9999999997450223}",33,2022,0.8220741857983254,True,UAE,0.1511229946524063,1,0.046252030863684346,True
India,{'p_35_0': 'SpaceX'},3.4732894511797156e+18,"{'China': 0.7716507177033493, 'France': 0.7544078947368421, 'Germany': 0.7840445269016698, 'India': 0.7781438074121002, 'Israel': 0.7843818984547463, 'Japan': 0.7865658362989323, 'Russia': 0.7938380281690142, 'UAE': 0.7700336700336702, 'UK': 0.7477635782747604, 'ULA': 0.8034224598930483, 'USA': 0.6700427089688834, 'SpaceX': 0.9583333333333334}","{'China': 0.008240332536260296, 'France': 3.290652907451626e-09, 'Germany': 7.111701926033873e-12, 'India': 0.5081588361717956, 'Israel': 3.6865386359733936e-06, 'Japan': 2.3456569417554107e-08, 'Russia': 5.74956757054654e-11, 'UAE': 1.2172765493095042e-11, 'UK': 1.5272064110725552e-06, 'ULA': 0.45359152240396294, 'USA': 0.030003968800998888, 'SpaceX': 9.951793278912407e-08}",35,2017,0.6198418265106778,False,UAE,0.1549108734402851,1,0.24848439015133195,True
China,{'p_36_1': 'SpaceX'},2.8859580540493814e+18,"{'China': 0.7716507177033493, 'France': 0.7544078947368421, 'Germany': 0.7840445269016698, 'India': 0.7132984901277585, 'Israel': 0.7843818984547463, 'Japan': 0.7865658362989323, 'Russia': 0.7938380281690142, 'UAE': 0.7700336700336702, 'UK': 0.7477635782747604, 'ULA': 0.8034224598930483, 'USA': 0.6700427089688834, 'SpaceX': 0.9583333333333334}","{'China': 0.9999947611610326, 'France': 1.2534110249350527e-17, 'Germany': 5.422649018453802e-13, 'India': 3.358241180743745e-15, 'Israel': 2.2812418126805163e-09, 'Japan': 7.968099004501475e-11, 'Russia': 6.787347958949613e-09, 'UAE': 5.188742782823747e-06, 'UK': 8.949561377353812e-17, 'ULA': 1.1688047577860768e-15, 'USA': 2.486985689646204e-12, 'SpaceX': 4.094487998904317e-08}",36,2021,0.8134500297051748,True,UAE,0.1549108734402851,1,0.05487618695683494,True
Japan,{'p_38_1': 'SpaceX'},2.386270888227308e+18,"{'China': 0.7906798245614035, 'France': 0.7544078947368421, 'Germany': 0.7840445269016698, 'India': 0.7132984901277585, 'Israel': 0.7843818984547463, 'Japan': 0.7865658362989323, 'Russia': 0.7938380281690142, 'UAE': 0.7700336700336702, 'UK': 0.7477635782747604, 'ULA': 0.8034224598930483, 'USA': 0.6700427089688834, 'SpaceX': 0.9583333333333334}","{'China': 9.05214177587824e-15, 'France': 2.712006633049022e-24, 'Germany': 6.315584061737532e-10, 'India': 2.583145444157719e-23, 'Israel': 9.158442782450477e-25, 'Japan': 0.9999999993679984, 'Russia': 3.335672954169662e-23, 'UAE': 2.3718864817374986e-23, 'UK': 4.341196699430204e-13, 'ULA': 2.4118133835924554e-24, 'USA': 1.5721765067549487e-17, 'SpaceX': 2.853333818047031e-20}",38,2024,0.8547897053739497,True,UAE,0.1549108734402851,1,0.013536511288059994,True
China,{'p_41_0': 'SpaceX'},2.2236928526961336e+18,"{'China': 0.7906798245614035, 'France': 0.7544078947368421, 'Germany': 0.7840445269016698, 'India': 0.7132984901277585, 'Israel': 0.7843818984547463, 'Japan': 0.8029838488913221, 'Russia': 0.7938380281690142, 'UAE': 0.7700336700336702, 'UK': 0.7477635782747604, 'ULA': 0.8034224598930483, 'USA': 0.6700427089688834, 'SpaceX': 0.9583333333333334}","{'China': 0.9100361916313865, 'France': 2.912922778823214e-12, 'Germany': 1.0052809615711254e-10, 'India': 1.5341797248678289e-12, 'Israel': 5.273766805214015e-08, 'Japan': 3.0183424924383324e-05, 'Russia': 7.135791167131946e-11, 'UAE': 9.243529490802002e-07, 'UK': 4.836575535316208e-11, 'ULA': 0.08993219011742677, 'USA': 4.575071988494919e-07, 'SpaceX': 3.747601444141179e-12}",41,2015,0.8134500297051748,True,UAE,0.1549108734402851,1,0.05487618695683494,True
