winner,allocation,payment,scores,probabilities,auction_id,context_year,true_winner_quality,outcome_success,oracle_winner,gap_top2,n_close,regret,winner_first_year,winner_is_incumbent
Israel,"{'p_1_2': 'SpaceX', 'p_1_1': 'SpaceX'}",2.835868015976386e+18,"{'China': 0.7488157894736842, 'France': 0.7544078947368421, 'Germany': 0.7624489795918368, 'India': 0.7559581881533102, 'Israel': 0.7412582781456954, 'Japan': 0.7438790035587188, 'Russia': 0.752605633802817, 'UAE': 0.747037037037037, 'UK': 0.7477635782747604, 'ULA': 0.7837647058823531, 'USA': 0.7370469798657717, 'SpaceX': 0.95}","{'China': 1.7569320786716155e-12, 'France': 2.3676515027127658e-08, 'Germany': 1.2975723431527827e-13, 'India': 1.6765473341164053e-11, 'Israel': 0.960815033597959, 'Japan': 1.7700163204641474e-16, 'Russia': 2.6628320375273206e-12, 'UAE': 1.1999041815255822e-12, 'UK': 0.03918473916942554, 'ULA': 2.2325289572089096e-08, 'USA': 1.8120824947118738e-07, 'SpaceX': 4.661014669044666e-14}",1,2020,0.6781725169436913,True,SpaceX,0.16623529411764681,1,0.26924546639762104,2000,True
Israel,{'p_2_0': 'SpaceX'},1.8797709667839526e+18,"{'China': 0.7488157894736842, 'France': 0.7544078947368421, 'Germany': 0.7624489795918368, 'India': 0.7559581881533102, 'Israel': 0.7647802528597232, 'Japan': 0.7438790035587188, 'Russia': 0.752605633802817, 'UAE': 0.747037037037037, 'UK': 0.7477635782747604, 'ULA': 0.7837647058823531, 'USA': 0.7370469798657717, 'SpaceX': 0.95}","{'China': 5.512456346565118e-15, 'France': 2.9393924795287045e-10, 'Germany': 1.1724327739974624e-06, 'India': 1.189440689440744e-11, 'Israel': 0.9999988221849098, 'Japan': 4.4723489661476045e-15, 'Russia': 1.3941263515056928e-12, 'UAE': 3.929683080469259e-14, 'UK': 5.074874426078377e-09, 'ULA': 6.2570358504686945e-18, 'USA': 3.7714984374316615e-16, 'SpaceX': 1.6429107723881324e-13}",2,2017,0.6781725169436913,False,SpaceX,0.16623529411764681,1,0.26924546639762104,2000,True
France,{'p_3_0': 'SpaceX'},2.390411621819396e+18,"{'China': 0.7488157894736842, 'France': 0.7544078947368421, 'Germany': 0.7624489795918368, 'India': 0.7559581881533102, 'Israel': 0.7010485651214129, 'Japan': 0.7438790035587188, 'Russia': 0.752605633802817, 'UAE': 0.747037037037037, 'UK': 0.7477635782747604, 'ULA': 0.7837647058823531, 'USA': 0.7370469798657717, 'SpaceX': 0.95}","{'China': 3.1857909913064243e-12, 'France': 0.9999876964107535, 'Germany': 2.017244631099305e-06, 'India': 8.232153657216603e-15, 'Israel': 8.45606295950891e-16, 'Japan': 1.3103229367514749e-19, 'Russia': 3.5179492696732837e-10, 'UAE': 6.704875861089643e-11, 'UK': 2.897242370805754e-12, 'ULA': 2.6055206451049666e-07, 'USA': 1.0025349370032529e-05, 'SpaceX': 1.8245027601150974e-11}",3,2016,0.575538597456634,True,SpaceX,0.16623529411764681,1,0.3718793858846783,2000,True
USA,"{'p_7_1': 'SpaceX', 'p_7_0': 'SpaceX'}",2.621900986570443e+18,"{'China': 0.7488157894736842, 'France': 0.7767344497607656, 'Germany': 0.7624489795918368, 'India': 0.7559581881533102, 'Israel': 0.7010485651214129, 'Japan': 0.7438790035587188, 'Russia': 0.752605633802817, 'UAE': 0.747037037037037, 'UK': 0.7477635782747604, 'ULA': 0.7837647058823531, 'USA': 0.7370469798657717, 'SpaceX': 0.95}","{'China': 2.0663663364638194e-09, 'France': 1.9385931474677424e-06, 'Germany': 1.9811803859763995e-11, 'India': 9.608551595778654e-10, 'Israel': 6.592205095982296e-05, 'Japan': 1.668577998370521e-11, 'Russia': 4.427244132612641e-11, 'UAE': 7.07606751711688e-06, 'UK': 0.00027533947186434506, 'ULA': 2.07082626549303e-09, 'USA': 0.8580326194548906, 'SpaceX': 0.14161709918280277}",7,2017,0.7534756519314919,False,SpaceX,0.16623529411764681,1,0.19394233140982042,2000,True
UAE,{'p_11_0': 'SpaceX'},3.0348568757675433e+18,"{'China': 0.7488157894736842, 'France': 0.7767344497607656, 'Germany': 0.7624489795918368, 'India': 0.7559581881533102, 'Israel': 0.7010485651214129, 'Japan': 0.7438790035587188, 'Russia': 0.752605633802817, 'UAE': 0.747037037037037, 'UK': 0.7477635782747604, 'ULA': 0.7837647058823531, 'USA': 0.6700427089688834, 'SpaceX': 0.95}","{'China': 8.218967472920757e-12, 'France': 3.479763904335497e-10, 'Germany': 9.955334982192525e-11, 'India': 1.0643871542647032e-11, 'Israel': 5.2096252313894204e-08, 'Japan': 3.4480505244742023e-09, 'Russia': 0.11112300665210065, 'UAE': 0.8888768523823116, 'UK': 2.363771368709551e-10, 'ULA': 8.278514264146375e-08, 'USA': 1.8151317623234934e-09, 'SpaceX': 1.1824088658778697e-10}",11,2018,0.8450644872980295,True,SpaceX,0.16623529411764681,1,0.10235349604328281,2000,True
India,{'p_14_1': 'SpaceX'},3.0065251785021215e+18,"{'China': 0.7488157894736842, 'France': 0.7767344497607656, 'Germany': 0.7624489795918368, 'India': 0.7559581881533102, 'Israel': 0.7010485651214129, 'Japan': 0.7438790035587188, 'Russia': 0.752605633802817, 'UAE': 0.7700336700336702, 'UK': 0.7477635782747604, 'ULA': 0.7837647058823531, 'USA': 0.6700427089688834, 'SpaceX': 0.95}","{'China': 7.210112952114966e-15, 'France': 8.154669623775937e-15, 'Germany': 2.4664380832313698e-11, 'India': 0.9980544008889586, 'Israel': 1.3414696482001392e-13, 'Japan': 1.181881776670448e-09, 'Russia': 5.465669270896687e-13, 'UAE': 1.5238174724135899e-18, 'UK': 4.597334546590962e-10, 'ULA': 0.0019455971754936355, 'USA': 2.460801458689818e-11, 'SpaceX': 2.4396421886215417e-10}",14,2024,0.7213064663142137,False,SpaceX,0.16623529411764681,1,0.22611151702709864,2000,True
Russia,{'p_15_0': 'SpaceX'},1.842266222213292e+18,"{'China': 0.7488157894736842, 'France': 0.7767344497607656, 'Germany': 0.7624489795918368, 'India': 0.6872347165030093, 'Israel': 0.7010485651214129, 'Japan': 0.7438790035587188, 'Russia': 0.752605633802817, 'UAE': 0.7700336700336702, 'UK': 0.7477635782747604, 'ULA': 0.7837647058823531, 'USA': 0.6700427089688834, 'SpaceX': 0.95}","{'China': 3.078075840491352e-16, 'France': 7.320579287264203e-19, 'Germany': 1.88174920684113e-17, 'India': 1.4311501054415722e-14, 'Israel': 1.34860450316526e-19, 'Japan': 9.064271724809151e-10, 'Russia': 0.9999991274597787, 'UAE': 8.710000217974556e-07, 'UK': 3.2688094573142205e-18, 'ULA': 6.7001853426291485e-15, 'USA': 6.337398147384491e-10, 'SpaceX': 1.1176126797915922e-14}",15,2018,0.6691759060280565,False,SpaceX,0.16623529411764681,1,0.2782420773132558,2000,True
UAE,"{'p_18_0': 'SpaceX', 'p_18_1': 'SpaceX'}",2.871072565272832e+18,"{'China': 0.7488157894736842, 'France': 0.7767344497607656, 'Germany': 0.7624489795918368, 'India': 0.6872347165030093, 'Israel': 0.7010485651214129, 'Japan': 0.7438790035587188, 'Russia': 0.6841869398207426, 'UAE': 0.7700336700336702, 'UK': 0.7477635782747604, 'ULA': 0.7837647058823531, 'USA': 0.6700427089688834, 'SpaceX': 0.95}","{'China': 1.263667370066632e-11, 'France': 1.8617047466928135e-08, 'Germany': 1.2979386158363418e-07, 'India': 1.1147582019223162e-06, 'Israel': 4.76264794920117e-11, 'Japan': 2.0821148977764574e-07, 'Russia': 0.9072696907078144, 'UAE': 0.09266016627099387, 'UK': 5.210774837822171e-16, 'ULA': 1.687440269041954e-14, 'USA': 5.234174332916661e-12, 'SpaceX': 6.867157507609191e-05}",18,2022,0.8450644872980295,True,SpaceX,0.16623529411764681,1,0.10235349604328281,2000,True
Israel,{'p_24_0': 'SpaceX'},2.7705158842855173e+18,"{'China': 0.7488157894736842, 'France': 0.7767344497607656, 'Germany': 0.7624489795918368, 'India': 0.6872347165030093, 'Israel': 0.7010485651214129, 'Japan': 0.7438790035587188, 'Russia': 0.6841869398207426, 'UAE': 0.7891975308641976, 'UK': 0.7477635782747604, 'ULA': 0.7837647058823531, 'USA': 0.6700427089688834, 'SpaceX': 0.95}","{'China': 3.0190999978755465e-12, 'France': 2.3777296158047145e-11, 'Germany': 3.6901998657626594e-08, 'India': 9.471980470109166e-06, 'Israel': 0.998116298423222, 'Japan': 3.7340858751093443e-14, 'Russia': 1.3889861716940968e-08, 'UAE': 0.0007898818509200593, 'UK': 4.3162643100447225e-06, 'ULA': 1.1056568399089875e-09, 'USA': 0.0010799795549237446, 'SpaceX': 1.802965758780346e-12}",24,2023,0.6781725169436913,True,SpaceX,0.16080246913580232,1,0.26924546639762104,2000,True
UAE,"{'p_26_0': 'SpaceX', 'p_26_1': 'SpaceX'}",5294676087871.996,"{'China': 0.7488157894736842, 'France': 0.7767344497607656, 'Germany': 0.7624489795918368, 'India': 0.6872347165030093, 'Israel': 0.7240448293428426, 'Japan': 0.7438790035587188, 'Russia': 0.6841869398207426, 'UAE': 0.7891975308641976, 'UK': 0.7477635782747604, 'ULA': 0.7837647058823531, 'USA': 0.6700427089688834, 'SpaceX': 0.95}","{'China': 1.1668729792488879e-15, 'France': 5.049935447189649e-12, 'Germany': 1.6774980838004223e-14, 'India': 2.568598685400493e-14, 'Israel': 6.190492124656638e-15, 'Japan': 0.0004278935356455197, 'Russia': 3.3418393608238238e-12, 'UAE': 0.9991713043878203, 'UK': 5.906485736527318e-13, 'ULA': 1.7254175997857345e-10, 'USA': 6.801155390396964e-07, 'SpaceX': 0.0004001217794211045}",26,2012,0.8450644872980295,True,SpaceX,0.16080246913580232,1,0.10235349604328281,2000,True
