winner,allocation,payment,scores,auction_id,context_year,true_winner_quality,outcome_success,oracle_winner,gap_top2,n_close,regret,winner_first_year,winner_is_incumbent
SpaceX,{'p_7_0': 'SpaceX'},31986675.13139274,"{'China': 0.8461338781048496, 'France': 0.5889058170663772, 'Germany': 0.5916684889019738, 'India': 0.8356141422236415, 'Israel': 0.760047313928979, 'Japan': 0.951678293383076, 'Russia': 0.42804678735800195, 'UAE': 0.6961247422806927, 'UK': 0.8424731089686259, 'ULA': 0.6046586601053787, 'USA': 0.6176984142361054, 'SpaceX': 0.9533082997610854}",7,2016,0.9533082997610854,True,SpaceX,0.0016300063780094742,2,0.0,2010,False
UAE,"{'p_8_1': 'UAE', 'p_8_0': 'UAE'}",17285752.957365464,"{'China': 0.8580401299197433, 'France': 0.7399809031813015, 'Germany': 0.8103069738968395, 'India': 0.8879284617872159, 'Israel': 0.7332681173281606, 'Japan': 0.9311463817925595, 'Russia': 0.6534431409882389, 'UAE': 0.9759839932373208, 'UK': 0.8488998714026323, 'ULA': 0.5675747957153313, 'USA': 0.9605299479667495, 'SpaceX': 0.9411806357780343}",8,2016,0.6961247422806927,True,SpaceX,0.01545404527057126,4,0.2571835574803928,2000,True
SpaceX,"{'p_15_0': 'SpaceX', 'p_15_1': 'SpaceX'}",9333724.73177464,"{'China': 0.7636701155495523, 'France': 0.8731270424902071, 'Germany': 0.8616057223903506, 'India': 0.9575372054995871, 'Israel': 0.634377284844477, 'Japan': 0.6305978408512968, 'Russia': 0.6871032199364304, 'UAE': 0.8026297942743373, 'UK': 0.8071664717534106, 'ULA': 0.7820582772282235, 'USA': 0.732680116515568, 'SpaceX': 0.9930022680953767}",15,2014,0.9533082997610854,True,SpaceX,0.03546506259578963,2,0.0,2010,False
SpaceX,{'p_16_0': 'SpaceX'},16864579.10084361,"{'China': 0.8450458631421116, 'France': 0.5404685740984196, 'Germany': 0.7205206208775629, 'India': 0.6999086343077197, 'Israel': 0.5432181012342695, 'Japan': 0.8179775387650097, 'Russia': 0.9306126460891484, 'UAE': 0.7836051179464082, 'UK': 0.7917385560236009, 'ULA': 0.7988394732459368, 'USA': 0.9152375988364404, 'SpaceX': 0.9993740745859968}",16,2024,0.9533082997610854,True,SpaceX,0.06876142849684841,1,0.0,2010,False
SpaceX,{'p_22_0': 'SpaceX'},2146092.2309609517,"{'China': 0.8438403337808503, 'France': 0.9616179512247157, 'Germany': 0.7255388051626354, 'India': 0.5974432930435392, 'Israel': 0.898597809199688, 'Japan': 0.7762225665933269, 'Russia': 0.6658114792338556, 'UAE': 0.8650541705369126, 'UK': 0.7296906428948855, 'ULA': 0.6437523583558599, 'USA': 0.958080380948295, 'SpaceX': 0.9951287305276777}",22,2016,0.9533082997610854,True,SpaceX,0.03351077930296198,3,0.0,2010,False
SpaceX,"{'p_23_1': 'SpaceX', 'p_23_0': 'SpaceX'}",6640973.474713348,"{'China': 0.7766540807443837, 'France': 0.5514830403250454, 'Germany': 0.5858039835370948, 'India': 0.5795896598198333, 'Israel': 0.8517206801785558, 'Japan': 0.7420716834617346, 'Russia': 0.8617829858895477, 'UAE': 0.7502537564580961, 'UK': 0.704572384362928, 'ULA': 0.6544956098376488, 'USA': 0.6814069017030542, 'SpaceX': 0.9498631497762711}",23,2012,0.9533082997610854,True,SpaceX,0.08808016388672335,1,0.0,2010,False
SpaceX,{'p_24_1': 'SpaceX'},13579918.56001764,"{'China': 0.6212467097988847, 'France': 0.7626682900654204, 'Germany': 0.8705345485124292, 'India': 0.7270773354500579, 'Israel': 0.6857935070189215, 'Japan': 0.6304482750877898, 'Russia': 0.7471835088764085, 'UAE': 0.8336686004364958, 'UK': 0.8764497453526867, 'ULA': 0.7090675237869982, 'USA': 0.6515987185834685, 'SpaceX': 0.999999699181876}",24,2025,0.9533082997610854,True,SpaceX,0.12354995382918932,1,0.0,2010,False
SpaceX,{'p_29_1': 'SpaceX'},15192080.69427378,"{'China': 0.7002351732251635, 'France': 0.6258803224049883, 'Germany': 0.8639859032138272, 'India': 0.6310504577842994, 'Israel': 0.9092105998129021, 'Japan': 0.7149444080915941, 'Russia': 0.6356906460178626, 'UAE': 0.7826265378424304, 'UK': 0.8938432005282876, 'ULA': 0.8900214999308856, 'USA': 0.8913436050238761, 'SpaceX': 0.9944208964990542}",29,2014,0.9533082997610854,True,SpaceX,0.0852102966861521,1,0.0,2010,False
SpaceX,"{'p_34_1': 'SpaceX', 'p_34_0': 'SpaceX'}",38714547.16159098,"{'China': 0.9318065939746666, 'France': 0.9577389133415298, 'Germany': 0.8455385438459374, 'India': 0.9048136550145268, 'Israel': 0.844131425489119, 'Japan': 0.7731293646787365, 'Russia': 0.68278251348287, 'UAE': 0.4962097974552479, 'UK': 0.7194160564627977, 'ULA': 0.7769221964657264, 'USA': 0.676976839882901, 'SpaceX': 0.9967358001987556}",34,2022,0.9533082997610854,True,SpaceX,0.0389968868572258,2,0.0,2010,False
SpaceX,"{'p_36_1': 'SpaceX', 'p_36_0': 'SpaceX'}",35355910.31639154,"{'China': 0.9523964838888467, 'France': 0.8372797039599323, 'Germany': 0.916296642841304, 'India': 0.60010183164631, 'Israel': 0.8465623921076535, 'Japan': 0.45522861978435264, 'Russia': 0.8671744331942343, 'UAE': 0.7272854290840457, 'UK': 0.598461948940762, 'ULA': 0.5223713975217033, 'USA': 0.5278384302861688, 'SpaceX': 0.9935541096608985}",36,2016,0.9533082997610854,True,SpaceX,0.04115762577205184,2,0.0,2010,False
