winner,allocation,payment,scores,auction_id,context_year,true_winner_quality,outcome_success,oracle_winner,gap_top2,n_close,regret,winner_first_year,winner_is_incumbent
SpaceX,{'p_3_0': 'SpaceX'},24211787.221827585,"{'China': 2.41392501178908, 'France': 2.4195171170522376, 'Germany': 2.427558201907232, 'India': 2.4210674104687055, 'Israel': 2.4063675004610907, 'Japan': 2.408988225874114, 'Russia': 2.4177148561182125, 'UAE': 2.4121462593524323, 'UK': 2.4128728005901556, 'ULA': 2.4488739281977487, 'USA': 2.402156202181167, 'SpaceX': 2.6151092223153953}",3,2014,0.9988689665675068,True,SpaceX,0.1662352941176466,1,0.0,2010,False
ULA,"{'p_4_0': 'ULA', 'p_4_1': 'ULA'}",137826221.80197847,"{'China': 2.8451099374100943, 'France': 2.850702042673252, 'Germany': 2.858743127528247, 'India': 2.8522523360897205, 'Israel': 2.8375524260821057, 'Japan': 2.840173151495129, 'Russia': 2.848899781739227, 'UAE': 2.8433311849734473, 'UK': 2.8440577262111706, 'ULA': 2.8800588538187633, 'USA': 2.833341127802182, 'SpaceX': 2.4368492619129656}",4,2019,0.722306729804949,True,SpaceX,0.021315726290516146,11,0.27656223676255776,2000,True
Germany,"{'p_5_2': 'Germany', 'p_5_1': 'Germany'}",128612152.0449439,"{'China': 3.1036358345046335, 'France': 3.1092279397677913, 'Germany': 3.117269024622786, 'India': 3.1107782331842593, 'Israel': 3.096078323176645, 'Japan': 3.098699048589668, 'Russia': 3.107425678833766, 'UAE': 3.1018570820679865, 'UK': 3.10258362330571, 'ULA': 2.4685316822084435, 'USA': 3.091867024896721, 'SpaceX': 2.6196546768608497}",5,2024,0.6856384902751999,True,SpaceX,0.0064907914385266,10,0.31323047629230694,2000,True
India,{'p_9_0': 'India'},8805515.40698725,"{'China': 3.2860882718327233, 'France': 3.291680377095881, 'Germany': 2.5781671048957713, 'India': 3.293230670512349, 'Israel': 3.2785307605047347, 'Japan': 3.281151485917758, 'Russia': 3.289878116161856, 'UAE': 3.2843095193960763, 'UK': 3.2850360606337996, 'ULA': 2.5975450378871496, 'USA': 3.2743194622248106, 'SpaceX': 2.7486680325395563}",9,2013,0.8763496817635524,True,SpaceX,0.0015502934164679516,9,0.12251928480395435,2000,True
France,"{'p_12_0': 'France', 'p_12_1': 'France'}",20952591.07574869,"{'China': 3.425948187565385, 'France': 3.431540292828543, 'Germany': 2.677062999726515, 'India': 2.6711622802369455, 'Israel': 3.4183906762373963, 'Japan': 3.4210114016504196, 'Russia': 3.4297380318945176, 'UAE': 3.424169435128738, 'UK': 3.4248959763664613, 'ULA': 2.6964409327178935, 'USA': 3.4141793779574723, 'SpaceX': 2.8475639273702997}",12,2012,0.9483406599538453,True,SpaceX,0.001802260934025135,8,0.05052830661366148,2000,True
Russia,{'p_14_0': 'Russia'},115219154.13049613,"{'China': 3.538733457832601, 'France': 2.749504152009517, 'Germany': 2.7568142291504207, 'India': 2.7509135096608515, 'Israel': 3.531175946504612, 'Japan': 3.5337966719176355, 'Russia': 3.5425233021617335, 'UAE': 3.536954705395954, 'UK': 3.537681246633677, 'ULA': 2.7761921621417995, 'USA': 3.5269646482246886, 'SpaceX': 2.9273151567942057}",14,2023,0.511816849512957,True,SpaceX,0.0037898443291326522,7,0.48705211705454976,2000,True
China,{'p_16_0': 'China'},10543856.153099937,"{'China': 3.63286956267545, 'France': 2.816068430098383, 'Germany': 2.823378507239288, 'India': 2.817477787749718, 'Israel': 3.6253120513474615, 'Japan': 3.6279327767604848, 'Russia': 2.8144300110674516, 'UAE': 3.631090810238803, 'UK': 3.6318173514765264, 'ULA': 2.842756440230666, 'USA': 3.6211007530675374, 'SpaceX': 2.9938794348830724}",16,2021,0.8317777741128782,True,SpaceX,0.001052211198923736,6,0.16709119245462856,2000,True
UK,{'p_18_0': 'UK'},57020696.61686995,"{'China': 2.8679448656397595, 'France': 2.873028597697176, 'Germany': 2.8803386748380797, 'India': 2.8744379553485104, 'Israel': 3.705865892880718, 'Japan': 3.7084866182937413, 'Russia': 2.8713901786662435, 'UAE': 3.7116446517720596, 'UK': 3.712371193009783, 'ULA': 2.8997166078294585, 'USA': 3.701654594600794, 'SpaceX': 3.0508396024818647}",18,2015,0.8076597222440114,True,SpaceX,0.0007265412377233105,5,0.1912092443234954,2000,True
UAE,{'p_23_0': 'UAE'},15906297.07489379,"{'China': 2.9176167439926965, 'France': 2.922700476050113, 'Germany': 2.9300105531910168, 'India': 2.9241098337014475, 'Israel': 3.7761125369159885, 'Japan': 3.7787332623290117, 'Russia': 2.9210620570191805, 'UAE': 3.78189129580733, 'UK': 2.9166601883573113, 'ULA': 2.9493884861823956, 'USA': 3.7719012386360644, 'SpaceX': 3.1005114808348018}",23,2013,0.8523393418488259,True,SpaceX,0.003158033478318334,4,0.14652962471868092,2000,True
Japan,"{'p_24_1': 'Japan', 'p_24_0': 'Japan'}",185371100.83380896,"{'China': 2.9615800648734223, 'France': 2.9666637969308383, 'Germany': 2.973973874071743, 'India': 2.9680731545821732, 'Israel': 3.8382860615524708, 'Japan': 3.840906786965494, 'Russia': 2.9650253778999067, 'UAE': 2.959963017203743, 'UK': 2.960623509238037, 'ULA': 2.9933518070631213, 'USA': 3.8340747632725467, 'SpaceX': 3.1444748017155275}",24,2017,0.6951425757175332,False,SpaceX,0.0026207254130232727,3,0.30372639084997355,2000,True
Israel,"{'p_26_1': 'Israel', 'p_26_0': 'Israel'}",31293421.08059162,"{'China': 3.000958524978065, 'France': 3.006042257035481, 'Germany': 3.0133523341763855, 'India': 3.0074516146868158, 'Israel': 3.8939756138978243, 'Japan': 2.9055614468735507, 'Russia': 3.0044038380045492, 'UAE': 2.9993414773083855, 'UK': 3.0000019693426796, 'ULA': 3.032730267167764, 'USA': 3.8897643156179003, 'SpaceX': 3.18385326182017}",26,2019,0.6774105374405376,True,SpaceX,0.004211298279924058,2,0.3214584291269692,2000,True
USA,{},0.0,"{'China': 3.0365786889472637, 'France': 3.0416624210046797, 'Germany': 3.0489724981455844, 'India': 3.0430717786560146, 'Israel': 3.0297082241036373, 'Japan': 2.9411816108427495, 'Russia': 3.040024001973748, 'UAE': 3.0349616412775844, 'UK': 3.0356221333118785, 'ULA': 3.0683504311369627, 'USA': 3.9401388345970947, 'SpaceX': 3.219473425789369}",28,2017,0.8221923240091665,True,SpaceX,0.7206654088077258,1,0.17667664255834026,2000,True
