winner,allocation,payment,scores,probabilities,auction_id,context_year,true_winner_quality,outcome_success,oracle_winner,gap_top2,n_close,regret,winner_is_incumbent
Germany,{'p_7_0': 'SpaceX'},2.2253304807076065e+18,"{'China': 0.7488157894736842, 'France': 0.7544078947368421, 'Germany': 0.7624489795918368, 'India': 0.7559581881533102, 'Israel': 0.7412582781456954, 'Japan': 0.7438790035587188, 'Russia': 0.752605633802817, 'UAE': 0.747037037037037, 'UK': 0.7477635782747604, 'ULA': 0.7837647058823531, 'USA': 0.7370469798657717, 'SpaceX': 0.95}","{'China': 5.792850598561597e-18, 'France': 0.00032838630844820357, 'Germany': 0.9996716136818116, 'India': 2.5898000289551994e-20, 'Israel': 3.16718437978189e-17, 'Japan': 8.369659859335783e-12, 'Russia': 3.7727061847718015e-19, 'UAE': 1.3638669904217623e-12, 'UK': 4.316917328515689e-15, 'ULA': 2.3635753687692256e-15, 'USA': 1.059638923690503e-22, 'SpaceX': 2.5247608280472663e-20}",7,2016,0.5916684889019738,False,SpaceX,0.16623529411764681,1,0.3616398108591117,True
Germany,"{'p_8_0': 'SpaceX', 'p_8_1': 'SpaceX'}",1.487216918571906e+18,"{'China': 0.7488157894736842, 'France': 0.7544078947368421, 'Germany': 0.6931354359925789, 'India': 0.7559581881533102, 'Israel': 0.7412582781456954, 'Japan': 0.7438790035587188, 'Russia': 0.752605633802817, 'UAE': 0.747037037037037, 'UK': 0.7477635782747604, 'ULA': 0.7837647058823531, 'USA': 0.7370469798657717, 'SpaceX': 0.95}","{'China': 1.6459898268622367e-19, 'France': 9.770454532048417e-22, 'Germany': 1.0, 'India': 5.1248361125089187e-20, 'Israel': 3.2029509423517506e-29, 'Japan': 5.3618603539485194e-27, 'Russia': 3.3812142751928777e-23, 'UAE': 1.3241770892025211e-22, 'UK': 5.275123342571023e-29, 'ULA': 9.273896157222815e-24, 'USA': 5.450887547158331e-29, 'SpaceX': 2.1616813911963194e-31}",8,2016,0.5916684889019738,False,SpaceX,0.16623529411764681,1,0.3616398108591117,True
Russia,"{'p_15_0': 'SpaceX', 'p_15_1': 'SpaceX'}",1.0381796975547135e+18,"{'China': 0.7488157894736842, 'France': 0.7544078947368421, 'Germany': 0.635374149659864, 'India': 0.7559581881533102, 'Israel': 0.7412582781456954, 'Japan': 0.7438790035587188, 'Russia': 0.752605633802817, 'UAE': 0.747037037037037, 'UK': 0.7477635782747604, 'ULA': 0.7837647058823531, 'USA': 0.7370469798657717, 'SpaceX': 0.95}","{'China': 0.0001343835661096867, 'France': 4.012233073032881e-15, 'Germany': 2.22997087200191e-05, 'India': 9.014190090717054e-10, 'Israel': 3.828449052380447e-09, 'Japan': 1.2079457976515417e-12, 'Russia': 0.9996628551327752, 'UAE': 2.2518741238277273e-11, 'UK': 1.1121840543293964e-12, 'ULA': 0.0001804560448979304, 'USA': 7.575117549721159e-10, 'SpaceX': 3.527432429014697e-11}",15,2014,0.42804678735800195,False,SpaceX,0.16623529411764681,1,0.5252615124030835,True
Israel,{'p_16_0': 'SpaceX'},1.6109475730464788e+18,"{'China': 0.7488157894736842, 'France': 0.7544078947368421, 'Germany': 0.635374149659864, 'India': 0.7559581881533102, 'Israel': 0.7412582781456954, 'Japan': 0.7438790035587188, 'Russia': 0.6841869398207426, 'UAE': 0.747037037037037, 'UK': 0.7477635782747604, 'ULA': 0.7837647058823531, 'USA': 0.7370469798657717, 'SpaceX': 0.95}","{'China': 2.421373104783347e-09, 'France': 2.8419780551275648e-09, 'Germany': 0.020556703821591128, 'India': 1.858669218160757e-11, 'Israel': 0.6631971271084285, 'Japan': 2.0217850924716676e-11, 'Russia': 0.11610111929581463, 'UAE': 6.567783433685515e-11, 'UK': 8.294609055867917e-15, 'ULA': 3.490565435261332e-07, 'USA': 0.20014417081322405, 'SpaceX': 5.245365563766586e-07}",16,2024,0.760047313928979,True,SpaceX,0.16623529411764681,1,0.1932609858321065,True
Germany,{'p_22_0': 'SpaceX'},2.105734917307774e+17,"{'China': 0.7488157894736842, 'France': 0.7544078947368421, 'Germany': 0.635374149659864, 'India': 0.7559581881533102, 'Israel': 0.7647802528597232, 'Japan': 0.7438790035587188, 'Russia': 0.6841869398207426, 'UAE': 0.747037037037037, 'UK': 0.7477635782747604, 'ULA': 0.7837647058823531, 'USA': 0.7370469798657717, 'SpaceX': 0.95}","{'China': 5.1920571317396106e-24, 'France': 2.223108051865394e-16, 'Germany': 0.9998066307094184, 'India': 6.82621471136299e-27, 'Israel': 5.201658867214504e-22, 'Japan': 1.4175062815044587e-23, 'Russia': 1.3010261803805012e-26, 'UAE': 7.692632396004728e-26, 'UK': 3.223859887172892e-27, 'ULA': 5.459102995215773e-20, 'USA': 1.2466536094468868e-17, 'SpaceX': 0.00019336929058128783}",22,2016,0.5916684889019738,False,SpaceX,0.16623529411764681,1,0.3616398108591117,True
Japan,"{'p_23_1': 'SpaceX', 'p_23_0': 'SpaceX'}",5906050357134.258,"{'China': 0.7488157894736842, 'France': 0.7544078947368421, 'Germany': 0.5864992150706437, 'India': 0.7559581881533102, 'Israel': 0.7647802528597232, 'Japan': 0.7438790035587188, 'Russia': 0.6841869398207426, 'UAE': 0.747037037037037, 'UK': 0.7477635782747604, 'ULA': 0.7837647058823531, 'USA': 0.7370469798657717, 'SpaceX': 0.95}","{'China': 3.114188078976953e-09, 'France': 9.84978366605523e-09, 'Germany': 1.7459380403064556e-13, 'India': 5.876694356471175e-12, 'Israel': 7.85719141176012e-08, 'Japan': 0.999999875822595, 'Russia': 3.1228245386412906e-08, 'UAE': 1.4795778449874874e-13, 'UK': 8.083538777238349e-13, 'ULA': 7.015885775319348e-10, 'USA': 6.654272326416366e-10, 'SpaceX': 3.9250283665068336e-11}",23,2012,0.951678293383076,True,SpaceX,0.16623529411764681,1,0.0016300063780094742,True
SpaceX,{'p_24_1': 'SpaceX'},1.8626376061344594e+18,"{'China': 0.7488157894736842, 'France': 0.7544078947368421, 'Germany': 0.5864992150706437, 'India': 0.7559581881533102, 'Israel': 0.7647802528597232, 'Japan': 0.7671627305079262, 'Russia': 0.6841869398207426, 'UAE': 0.747037037037037, 'UK': 0.7477635782747604, 'ULA': 0.7837647058823531, 'USA': 0.7370469798657717, 'SpaceX': 0.95}","{'China': 1.4473901004884256e-07, 'France': 9.629911004359795e-05, 'Germany': 1.9334019513944624e-05, 'India': 7.277092563595933e-06, 'Israel': 6.962767093408687e-11, 'Japan': 1.0854559562146304e-07, 'Russia': 2.326957402549717e-10, 'UAE': 4.144330762332577e-06, 'UK': 1.599063819187182e-06, 'ULA': 2.6736957874540256e-08, 'USA': 1.8829061751100635e-08, 'SpaceX': 0.9998710472303486}",24,2025,0.9533082997610854,True,SpaceX,0.16623529411764681,1,0.0,True
China,{'p_29_0': 'SpaceX'},3.1457522341851633e+18,"{'China': 0.7488157894736842, 'France': 0.7544078947368421, 'Germany': 0.5864992150706437, 'India': 0.7559581881533102, 'Israel': 0.7647802528597232, 'Japan': 0.7671627305079262, 'Russia': 0.6841869398207426, 'UAE': 0.747037037037037, 'UK': 0.7477635782747604, 'ULA': 0.7837647058823531, 'USA': 0.7370469798657717, 'SpaceX': 0.9545454545454546}","{'China': 0.8935378757726388, 'France': 5.296042102158412e-07, 'Germany': 0.0005897905635612927, 'India': 0.07008162720255634, 'Israel': 1.2352987290423917e-13, 'Japan': 3.356411305741642e-07, 'Russia': 0.031624462779290305, 'UAE': 7.307420590349472e-08, 'UK': 3.557184719430275e-08, 'ULA': 0.004165269717658904, 'USA': 4.3040430834343205e-11, 'SpaceX': 2.973651367507872e-11}",29,2014,0.8461338781048496,True,SpaceX,0.17078074866310144,1,0.10717442165623581,True
France,"{'p_34_1': 'SpaceX', 'p_34_0': 'SpaceX'}",4.5032959664720236e+18,"{'China': 0.7716507177033493, 'France': 0.7544078947368421, 'Germany': 0.5864992150706437, 'India': 0.7559581881533102, 'Israel': 0.7647802528597232, 'Japan': 0.7671627305079262, 'Russia': 0.6841869398207426, 'UAE': 0.747037037037037, 'UK': 0.7477635782747604, 'ULA': 0.7837647058823531, 'USA': 0.7370469798657717, 'SpaceX': 0.9545454545454546}","{'China': 2.4357956495398354e-08, 'France': 0.9095673754332785, 'Germany': 0.06989541211758882, 'India': 6.182918128848731e-09, 'Israel': 8.040345597203349e-12, 'Japan': 1.5432725446216866e-05, 'Russia': 0.0026498818911148813, 'UAE': 0.01782717563546242, 'UK': 4.426521523547414e-05, 'ULA': 3.325645694225219e-07, 'USA': 2.588766577384036e-11, 'SpaceX': 9.384250181128103e-08}",34,2022,0.5889058170663772,True,SpaceX,0.17078074866310144,1,0.3644024826947082,True
SpaceX,"{'p_36_0': 'SpaceX', 'p_36_1': 'SpaceX'}",3.857757210250123e+18,"{'China': 0.7716507177033493, 'France': 0.7767344497607656, 'Germany': 0.5864992150706437, 'India': 0.7559581881533102, 'Israel': 0.7647802528597232, 'Japan': 0.7671627305079262, 'Russia': 0.6841869398207426, 'UAE': 0.747037037037037, 'UK': 0.7477635782747604, 'ULA': 0.7837647058823531, 'USA': 0.7370469798657717, 'SpaceX': 0.9545454545454546}","{'China': 4.643724574762093e-05, 'France': 0.51901752116317, 'Germany': 3.3500169048561344e-09, 'India': 0.0026609286287703556, 'Israel': 0.2284615718625802, 'Japan': 0.000423660013350394, 'Russia': 2.2645288899193204e-05, 'UAE': 0.006463088756047774, 'UK': 0.0785171601341674, 'ULA': 2.259469002025767e-07, 'USA': 0.03462576867432347, 'SpaceX': 0.12976098893602633}",36,2016,0.9533082997610854,True,SpaceX,0.17078074866310144,1,0.0,True
